CLASSIC_LASER_IN;CLASSIS_OUT;QUANT_IN_PORT;QUANT_DETECTOR_PORT;MIN photon count;MAX photon count;timestamp epoch;timestamp_utc;duration
4;12;1;11;12908;13346;1744407692.031780356;Fri Apr 11 09:41:32 PM UTC 2025;43.698217124
4;12;2;11;10943;11469;1744407735.737024282;Fri Apr 11 09:42:15 PM UTC 2025;44.144156570
4;12;3;11;22096;26483;1744407779.889227258;Fri Apr 11 09:42:59 PM UTC 2025;116.043824229
4;12;5;11;8491;8846;1744407895.940362088;Fri Apr 11 09:44:55 PM UTC 2025;61.169267283
4;12;6;11;10840;12007;1744407957.116931017;Fri Apr 11 09:45:57 PM UTC 2025;75.186240492
4;12;7;11;13774;16732;1744408032.310207962;Fri Apr 11 09:47:12 PM UTC 2025;84.935008227
4;12;8;11;17208;22551;1744408117.251971785;Fri Apr 11 09:48:37 PM UTC 2025;61.143825015
4;12;-;-;410;515;1744409938.840109200;Fri Apr 11 10:18:58 PM UTC 2025;56.731740065
4;12;1;14;610;761;1744409995.578591184;Fri Apr 11 10:19:55 PM UTC 2025;57.142592526
4;12;2;14;3101;3325;1744410052.727772253;Fri Apr 11 10:20:52 PM UTC 2025;47.967571127
4;12;3;14;10582;12667;1744410100.702079305;Fri Apr 11 10:21:40 PM UTC 2025;45.690636997
4;12;5;14;350;430;1744410146.399127275;Fri Apr 11 10:22:26 PM UTC 2025;67.102121350
4;12;6;14;722;802;1744410213.508439615;Fri Apr 11 10:23:33 PM UTC 2025;29.006159977
4;12;7;14;954;1301;1744410242.521737052;Fri Apr 11 10:24:02 PM UTC 2025;87.024754122
4;12;8;14;2114;3320;1744410329.553831295;Fri Apr 11 10:25:29 PM UTC 2025;43.080909263
4;12;-;-;1341;1485;1744410477.115345464;Fri Apr 11 10:27:57 PM UTC 2025;38.096673798
4;12;1;15;242;281;1744410515.218867454;Fri Apr 11 10:28:35 PM UTC 2025;28.158928026
4;12;2;15;2074;2385;1744410543.384673048;Fri Apr 11 10:29:03 PM UTC 2025;31.525772683
4;12;3;15;10994;13154;1744410574.917223502;Fri Apr 11 10:29:34 PM UTC 2025;44.948139564
4;12;5;15;205;274;1744410619.872226825;Fri Apr 11 10:30:19 PM UTC 2025;41.522053355
4;12;6;15;1136;1273;1744410661.400953511;Fri Apr 11 10:31:01 PM UTC 2025;36.870247503
4;12;7;15;572;707;1744410698.278147679;Fri Apr 11 10:31:38 PM UTC 2025;22.903398984
4;12;8;15;1917;2258;1744410721.188250504;Fri Apr 11 10:32:01 PM UTC 2025;33.531650623
4;12;-;-;238;302;1744410824.701627905;Fri Apr 11 10:33:44 PM UTC 2025;27.654473369
4;12;1;16;322;394;1744410852.363164828;Fri Apr 11 10:34:12 PM UTC 2025;28.112052613
4;12;2;16;1668;1775;1744410880.483073183;Fri Apr 11 10:34:40 PM UTC 2025;44.709696696
4;12;3;16;9343;133395;1744410925.199668524;Fri Apr 11 10:35:25 PM UTC 2025;80.912215468
4;12;5;16;124;193;1744411006.118882122;Fri Apr 11 10:36:46 PM UTC 2025;24.168668162
4;12;6;16;1231;1318;1744411030.294165390;Fri Apr 11 10:37:10 PM UTC 2025;22.934485269
4;12;7;16;603;822;1744411053.236652854;Fri Apr 11 10:37:33 PM UTC 2025;29.896561378
4;12;8;16;6133;7562;1744411083.139886764;Fri Apr 11 10:38:03 PM UTC 2025;31.297741928
5;13;5;13;163;289;1744649646.011612298;Mon Apr 14 04:54:06 PM UTC 2025;113.109035653
5;13;1;9;973;2847;1744649759.128768010;Mon Apr 14 04:55:59 PM UTC 2025;113.689598452
5;13;2;9;559;793;1744649872.825786206;Mon Apr 14 04:57:52 PM UTC 2025;32.827350071
5;13;3;9;516;669;1744649905.659629683;Mon Apr 14 04:58:25 PM UTC 2025;52.226962276
5;13;4;9;1633;2006;1744649957.893386703;Mon Apr 14 04:59:17 PM UTC 2025;46.515151173
5;13;6;9;454;1091;1744650004.415434997;Mon Apr 14 05:00:04 PM UTC 2025;39.476192767
5;13;7;9;549;657;1744650043.898193006;Mon Apr 14 05:00:43 PM UTC 2025;41.496227938
5;13;8;9;733;979;1744650085.401050160;Mon Apr 14 05:01:25 PM UTC 2025;102.486084302
5;13;5;13;344;405;1744650295.857822889;Mon Apr 14 05:04:55 PM UTC 2025;40.418864152
5;13;1;10;407;894;1744650336.283280179;Mon Apr 14 05:05:36 PM UTC 2025;114.163784971
5;13;2;10;368;501;1744650450.453806597;Mon Apr 14 05:07:30 PM UTC 2025;33.320050325
5;13;3;10;384;494;1744650483.780753063;Mon Apr 14 05:08:03 PM UTC 2025;53.386598359
5;13;4;10;2018;2289;1744650537.174352127;Mon Apr 14 05:08:57 PM UTC 2025;40.544364564
5;13;6;10;316;584;1744650577.725425786;Mon Apr 14 05:09:37 PM UTC 2025;45.505240770
5;13;7;10;249;396;1744650623.236962511;Mon Apr 14 05:10:23 PM UTC 2025;51.810136781
5;13;8;10;448;610;1744650675.053767777;Mon Apr 14 05:11:15 PM UTC 2025;66.020600907
5;13;5;13;455;559;1744650861.975408776;Mon Apr 14 05:14:21 PM UTC 2025;58.860931317
